"r";"category";"hh";"Value"
"DEU";"skl_labor";"hh1";16.984550375
"DEU";"usk_labor";"hh1";45.48923265
"DEU";"rkr";"hh1";41.77687926
"DEU";"rkx_ele";"hh1";0.64495796
"DEU";"taxes income";"hh1";91.2510362
"DEU";"tax on income";"hh1";-46.29752469
"DEU";"cons_hh";"hh1";-191.21021338
"DEU";"savings";"hh1";41.361081628
"FRA";"skl_labor";"hh1";11.464561777
"FRA";"usk_labor";"hh1";40.12087924
"FRA";"rkr";"hh1";15.831262232
"FRA";"rkx_ele";"hh1";0.282874094
"FRA";"taxes income";"hh1";91.07585054
"FRA";"tax on income";"hh1";-35.32621971
"FRA";"cons_hh";"hh1";-148.43326901
"FRA";"savings";"hh1";24.984060835
"ITA";"skl_labor";"hh1";7.401830983
"ITA";"usk_labor";"hh1";20.468224092
"ITA";"rkr";"hh1";26.62004639
"ITA";"rkx_ele";"hh1";0.498888854
"ITA";"taxes income";"hh1";21.002294378
"ITA";"tax on income";"hh1";-9.939507674
"ITA";"cons_hh";"hh1";-76.96998294
"ITA";"savings";"hh1";10.918205899
"POL";"skl_labor";"hh1";1.184716739
"POL";"usk_labor";"hh1";6.27079353
"POL";"rkr";"hh1";3.638496828
"POL";"rkx_ele";"hh1";0.111462789
"POL";"taxes income";"hh1";22.099093617
"POL";"tax on income";"hh1";-10.45949792
"POL";"cons_hh";"hh1";-29.06422865
"POL";"savings";"hh1";6.219163067
"UKI";"skl_labor";"hh1";7.444524776
"UKI";"usk_labor";"hh1";22.028076013
"UKI";"rkr";"hh1";27.17489923
"UKI";"rkx_ele";"hh1";0.726584263
"UKI";"taxes income";"hh1";64.13582107
"UKI";"tax on income";"hh1";-5.975342274
"UKI";"cons_hh";"hh1";-177.08549575
"UKI";"savings";"hh1";61.55093267
"ESP";"skl_labor";"hh1";3.728855605
"ESP";"usk_labor";"hh1";19.426121454
"ESP";"rkr";"hh1";12.576334258
"ESP";"rkx_ele";"hh1";0.512936218
"ESP";"taxes income";"hh1";45.74922192
"ESP";"tax on income";"hh1";-18.086605754
"ESP";"cons_hh";"hh1";-86.72440472
"ESP";"savings";"hh1";22.817541013
"BNL";"skl_labor";"hh1";5.189845174
"BNL";"usk_labor";"hh1";14.37102974
"BNL";"rkr";"hh1";22.181701445
"BNL";"rkx_ele";"hh1";0.45619939
"BNL";"taxes income";"hh1";22.084639341
"BNL";"tax on income";"hh1";-13.750285728
"BNL";"cons_hh";"hh1";-82.2778301
"BNL";"savings";"hh1";31.744700741
"EUN";"skl_labor";"hh1";7.734857045
"EUN";"usk_labor";"hh1";6.637552523
"EUN";"rkr";"hh1";-0.577077543
"EUN";"rkx_ele";"hh1";-0.022160284
"EUN";"taxes income";"hh1";22.567404092
"EUN";"tax on income";"hh1";-12.136958534
"EUN";"cons_hh";"hh1";-30.9036695
"EUN";"savings";"hh1";6.700052204
"EUS";"skl_labor";"hh1";2.761702019
"EUS";"usk_labor";"hh1";14.414424063
"EUS";"rkr";"hh1";32.349564651
"EUS";"rkx_ele";"hh1";1.319609305
"EUS";"taxes income";"hh1";13.688284187
"EUS";"tax on income";"hh1";-7.135249478
"EUS";"cons_hh";"hh1";-42.21877879
"EUS";"savings";"hh1";-15.179555964
"DEU";"skl_labor";"hh2";42.99724876
"DEU";"usk_labor";"hh2";101.20589671
"DEU";"rkr";"hh2";60.52437345
"DEU";"rkx_ele";"hh2";0.93438469
"DEU";"taxes income";"hh2";117.43754301
"DEU";"tax on income";"hh2";-79.56993302
"DEU";"cons_hh";"hh2";-231.5858029
"DEU";"savings";"hh2";-11.943710684
"FRA";"skl_labor";"hh2";36.72846856
"FRA";"usk_labor";"hh2";76.07313903
"FRA";"rkr";"hh2";28.08671529
"FRA";"rkx_ele";"hh2";0.501855381
"FRA";"taxes income";"hh2";108.82542995
"FRA";"tax on income";"hh2";-75.24587847
"FRA";"cons_hh";"hh2";-185.56200142
"FRA";"savings";"hh2";10.592271678
"ITA";"skl_labor";"hh2";19.709931426
"ITA";"usk_labor";"hh2";36.79811832
"ITA";"rkr";"hh2";50.82839196
"ITA";"rkx_ele";"hh2";0.95257979
"ITA";"taxes income";"hh2";40.82957286
"ITA";"tax on income";"hh2";-23.214866783
"ITA";"cons_hh";"hh2";-123.52626946
"ITA";"savings";"hh2";-2.377458114
"POL";"skl_labor";"hh2";3.275454362
"POL";"usk_labor";"hh2";10.671180255
"POL";"rkr";"hh2";6.900320696
"POL";"rkx_ele";"hh2";0.211386467
"POL";"taxes income";"hh2";33.07698176
"POL";"tax on income";"hh2";-17.817701264
"POL";"cons_hh";"hh2";-36.18035081
"POL";"savings";"hh2";-0.137271471
"UKI";"skl_labor";"hh2";21.79700357
"UKI";"usk_labor";"hh2";55.9477769
"UKI";"rkr";"hh2";21.1175075
"UKI";"rkx_ele";"hh2";0.564625779
"UKI";"taxes income";"hh2";72.32196294
"UKI";"tax on income";"hh2";-17.327022066
"UKI";"cons_hh";"hh2";-185.74101352
"UKI";"savings";"hh2";31.3191589
"ESP";"skl_labor";"hh2";11.480895608
"ESP";"usk_labor";"hh2";39.38956293
"ESP";"rkr";"hh2";25.313598258
"ESP";"rkx_ele";"hh2";1.032436089
"ESP";"taxes income";"hh2";74.71573371
"ESP";"tax on income";"hh2";-29.93241012
"ESP";"cons_hh";"hh2";-115.23035597
"ESP";"savings";"hh2";-6.769460511
